Sentence,negatif,neutral,positif,compound
I think the game is fun.,0.0,0.548,0.452,0.5106
what makes this world so dark.,0.0,1.0,0.0,0.0
I feel so beautiful when I look at the stars.,0.0,0.625,0.375,0.6361
I like eating fruits.,0.0,0.444,0.556,0.3612
I hate seeing myself in pain the most.,0.583,0.417,0.0,-0.7906
I really want to play chess alone.,0.216,0.324,0.46,0.3086
That puppy is so cute.,0.0,0.509,0.491,0.5949
Tell me about a heroic hero.,0.0,0.294,0.706,0.802
I really like playing with cute cats.,0.0,0.276,0.724,0.7828
I really like listening to the sound of rain.,0.0,0.715,0.285,0.4201
why is the elephant fat.,0.0,1.0,0.0,0.0
people when walking look in a hurry.,0.0,1.0,0.0,0.0
one time I really want to feel the meeting of destiny.,0.0,0.85,0.15,0.1513
sometimes I really like to play the water that falls from the sky.,0.0,0.647,0.353,0.6659
the world is beautiful when seen alone.,0.183,0.459,0.358,0.4404
the beauty of summer with a loved one makes me smile.,0.0,0.407,0.593,0.8807
I really like the soft sound of the piano.,0.0,0.715,0.285,0.4201
walking around looking at the beautiful park.,0.0,0.606,0.394,0.5994
I once played chess alone.,0.312,0.312,0.375,0.1027
Do you know the beautiful feeling of being alone.,0.149,0.448,0.403,0.5267
How beautiful do you think a person feels?,0.0,0.606,0.394,0.5994
The sky is beautiful with summer.,0.0,0.562,0.438,0.5994
The city is so beautiful when I look at it at night.,0.0,0.667,0.333,0.7177
The sparkling stars make me sad.,0.333,0.43,0.237,-0.2263
tell me about mice.,0.0,1.0,0.0,0.0
tell me what paper is.,0.0,1.0,0.0,0.0
i am very interested in how dogs can smell from a distance.,0.0,0.75,0.25,0.4576
i wonder why planes can fly.,0.0,1.0,0.0,0.0
what makes rain happen.,0.0,1.0,0.0,0.0
interesting facts about trees.,0.0,0.526,0.474,0.4019
the forest turned out to be so peaceful and calm.,0.0,0.545,0.455,0.7704
what makes chocolate so sweet.,0.0,0.509,0.491,0.5949
i love watching the sunset.,0.0,0.417,0.583,0.6369
how cute is the girl with the red ribbon in her hair.,0.0,0.786,0.214,0.4588
tell me about the beauty of valentine's day.,0.0,0.648,0.352,0.5859
interesting things about water.,0.0,0.526,0.474,0.4019
midnight is so peaceful.,0.0,0.422,0.578,0.6269
i always stare at the clouds that decorate the blue sky.,0.0,1.0,0.0,0.0
I once spoke sweetly of cats.,0.0,0.563,0.437,0.4767
I once spoke of the beauty of the sky.,0.0,0.648,0.352,0.5859
I once told about the comfort of the dark night.,0.0,0.762,0.238,0.3612
I once talked about the calmness of the rain.,0.0,0.722,0.278,0.4019
I once talked about the sea and summer.,0.0,1.0,0.0,0.0
I've talked about sweet cakes.,0.0,0.571,0.429,0.4588
I've talked about weird cars.,0.298,0.702,0.0,-0.1779
I've talked about annoying things.,0.403,0.597,0.0,-0.4019
I've been yelled at because I'm bad.,0.368,0.632,0.0,-0.5423
I've been sad because I failed.,0.681,0.319,0.0,-0.7506
I've been so angry for no reason.,0.573,0.427,0.0,-0.7721
I've seen how ugly flies are.,0.398,0.602,0.0,-0.5106
I feel so stupid.,0.649,0.351,0.0,-0.5709
I'm really bad at talking.,0.487,0.513,0.0,-0.5849
I am a mother of three.,0.0,1.0,0.0,0.0
I am thinking of becoming a mother next year.,0.0,1.0,0.0,0.0
I love to eat pita bread with hummus.,0.27,0.397,0.333,0.2023
I go to work early in the morning as a nurse.,0.0,1.0,0.0,0.0
My father lives in china.,0.0,1.0,0.0,0.0
I have a boxer dog.,0.0,1.0,0.0,0.0
I like baths.,0.0,0.286,0.714,0.3612
I like to exercise.,0.0,0.444,0.556,0.3612
I am always happy when the summer ends.,0.0,0.619,0.381,0.5719
Sometimes i wish my computer would work faster.,0.0,0.69,0.31,0.4019
Rita hayworth is the woman of my dreams.,0.0,0.722,0.278,0.4019
I like standing in the rain.,0.0,0.615,0.385,0.3612
I prefer summer over winter.,0.0,1.0,0.0,0.0
I graduated college a few years ago.,0.0,1.0,0.0,0.0
I was born outside the us.,0.0,1.0,0.0,0.0
I ve a big family.,0.0,1.0,0.0,0.0
My mother died when i was a child.,0.419,0.581,0.0,-0.5574
I like to run.,0.0,0.444,0.556,0.3612
Cooking is my passion.,0.0,0.5,0.5,0.4588
My favorite color is blue.,0.0,0.571,0.429,0.4588
I like toyota cars.,0.0,0.444,0.556,0.3612
I like to vote.,0.0,0.444,0.556,0.3612
Someday i would like a truck.,0.0,0.545,0.455,0.3612
I do not like working long hours.,0.297,0.703,0.0,-0.2755
I like collectible dragon ball z figures.,0.0,0.615,0.385,0.3612
I love huge paintings.,0.0,0.133,0.867,0.7579
I like collecting rocks.,0.0,0.444,0.556,0.3612
I love zumba.,0.0,0.192,0.808,0.6369
My name is dave.,0.0,1.0,0.0,0.0
"I live in las vegas , nevada.",0.0,1.0,0.0,0.0
I love hiking and staying fit.,0.0,0.309,0.691,0.7717
"I work as a personal trainer , 5 days a week.",0.0,1.0,0.0,0.0
I love sunny days.,0.0,0.125,0.875,0.7906
I love winning.,0.0,0.0,1.0,0.8225
I can tell right away if i am going to like someone.,0.0,0.783,0.217,0.3612
I do not like feeling obligated to hang out with someone.,0.303,0.697,0.0,-0.357
I have bad luck with relationships.,0.368,0.316,0.316,-0.128
I slack off on my homework.,0.0,1.0,0.0,0.0
I daydream during work.,0.0,1.0,0.0,0.0
I m a hopeless romantic.,0.526,0.0,0.474,-0.0772
I prefer summer over winter.,0.0,1.0,0.0,0.0
I graduated college a few years ago.,0.0,1.0,0.0,0.0
I was born outside the us.,0.0,1.0,0.0,0.0
I ve a big family.,0.0,1.0,0.0,0.0
I love horses.,0.0,0.192,0.808,0.6369
I collect seashells.,0.0,1.0,0.0,0.0
I have two chiuahuahs.,0.0,1.0,0.0,0.0
I am a yoga instructor.,0.0,1.0,0.0,0.0
I am a writer.,0.0,1.0,0.0,0.0
I just bought my first home.,0.0,1.0,0.0,0.0
I try to go hunting with my brothers several times a year.,0.0,1.0,0.0,0.0
I love to barbecue.,0.0,0.323,0.677,0.6369
Both my parents are creative.,0.0,0.58,0.42,0.4404
My dad works in the automotive industry.,0.0,1.0,0.0,0.0
I dream of playing music for a living.,0.0,0.513,0.487,0.4215
I m a student living at home while pursuing my music industry degree.,0.0,1.0,0.0,0.0
I hate that my mom made me get braces.,0.346,0.654,0.0,-0.5719
I could eat less.,0.0,1.0,0.0,0.0
My three ring binder has my drawings of ponies all over it.,0.0,1.0,0.0,0.0
People say i talk when i m not supposed to.,0.0,1.0,0.0,0.0
I have a twin brother.,0.0,1.0,0.0,0.0
My favorite book is david copperfield.,0.0,0.625,0.375,0.4588
I m really short.,0.0,1.0,0.0,0.0
I love to bake cakes.,0.0,0.417,0.583,0.6369
I graduated top of my class.,0.0,0.69,0.31,0.2023
My mother was a concert pianist.,0.0,1.0,0.0,0.0
My wife is a college professor.,0.0,1.0,0.0,0.0
I work as a trauma surgeon.,0.483,0.517,0.0,-0.4215
Pizza is my favorite food.,0.0,0.571,0.429,0.4588
My favorite hobby is reading suspense novels.,0.0,0.667,0.333,0.4588
My mom is a cancer survivor.,0.444,0.303,0.253,-0.4404
My favorite subject in school was science.,0.0,0.667,0.333,0.4588
I have two border collies.,0.0,1.0,0.0,0.0
I speak french and english fluently.,0.0,1.0,0.0,0.0
I am an artist.,0.0,1.0,0.0,0.0
I enjoy hiking.,0.0,0.238,0.762,0.4939
In the evenings i watch the door at a club where they play punkrock.,0.0,0.821,0.179,0.34
"I like dr pepper and black jack gum , but not together.",0.0,0.837,0.163,0.1901
I work in a corner grocery store during the day.,0.0,1.0,0.0,0.0
My favorite show is scobby doo.,0.0,0.625,0.375,0.4588
I fix airplanes for a living.,0.0,1.0,0.0,0.0
I think if i work hard enough i can fix the world.,0.149,0.851,0.0,-0.1027
I drive junk cars that no one else wants.,0.239,0.761,0.0,-0.296
I prefer vinyl records to any other music recording format.,0.0,1.0,0.0,0.0
Teaching is my passion.,0.0,0.5,0.5,0.4588
My husband is a cop.,0.0,1.0,0.0,0.0
I am married.,0.0,1.0,0.0,0.0
My favorite place is the beach.,0.0,0.625,0.375,0.4588
My favorite sport is football.,0.0,0.571,0.429,0.4588
I am a military veteran.,0.0,1.0,0.0,0.0
I have been married for 20 years.,0.0,1.0,0.0,0.0
I volunteer at my local animal shelter.,0.0,1.0,0.0,0.0
I grew up on a large farm.,0.0,1.0,0.0,0.0
"Since i have fibromyalgia , the harsher winters here in pa will be rough on me.",0.198,0.802,0.0,-0.4939
I love reading.,0.0,0.192,0.808,0.6369
I just moved from va to pa.,0.0,1.0,0.0,0.0
I drink lots of iced tea.,0.0,1.0,0.0,0.0
I teach first grade.,0.0,1.0,0.0,0.0
I married my high school sweetheart.,0.0,0.482,0.518,0.6486
My favorite pizza is pepperoni.,0.0,0.571,0.429,0.4588
I own a mansion that i do not live in.,0.0,1.0,0.0,0.0
I am an international business man.,0.0,1.0,0.0,0.0
I never met my parents.,0.0,1.0,0.0,0.0
I am a genius and know over 300 languages.,0.0,1.0,0.0,0.0
I believe in aliens.,0.0,1.0,0.0,0.0
I cannot choose between lollipops and rainbows.,0.0,1.0,0.0,0.0
I hate cleaning up after my husband and children.,0.346,0.654,0.0,-0.5719
I would love to be a professional eater and not get fat.,0.0,0.682,0.318,0.6369
I work graveyard in a hotel.,0.423,0.577,0.0,-0.296
I am saving for college.,0.0,1.0,0.0,0.0
My favorite actor is robert denaro.,0.0,0.625,0.375,0.4588
I love the snow.,0.0,0.323,0.677,0.6369
I enjoy video games.,0.0,0.385,0.615,0.4939
Magic mike is my favorite movie.,0.0,0.625,0.375,0.4588
I enjoy singing.,0.0,0.238,0.762,0.4939
"I enjoy my job , as a teacher.",0.0,0.556,0.444,0.4939
I work for the railroad.,0.0,1.0,0.0,0.0
My favorite band is vnv nation.,0.0,0.625,0.375,0.4588
I am an omnivore.,0.0,1.0,0.0,0.0
I really like watching star trek.,0.0,0.589,0.411,0.4201
I am male.,0.0,1.0,0.0,0.0
I work in accounting.,0.0,1.0,0.0,0.0
I lease my car.,0.0,1.0,0.0,0.0
I have two dogs.,0.0,1.0,0.0,0.0
Helping people makes me happy.,0.0,0.337,0.663,0.7096
I graduated with a nursing degree.,0.0,1.0,0.0,0.0
My husband is a firefighter.,0.0,1.0,0.0,0.0
My favorite food is sushi.,0.0,0.571,0.429,0.4588
I love to travel.,0.0,0.323,0.677,0.6369
My hair is short and pink.,0.0,1.0,0.0,0.0
I work as a freight truck driver.,0.0,1.0,0.0,0.0
I am a 43 year old woman.,0.0,1.0,0.0,0.0
I have a dog named george.,0.0,1.0,0.0,0.0
I like going to the beach.,0.0,0.615,0.385,0.3612
I used to work for a cable company.,0.0,1.0,0.0,0.0
I love to ride my bike.,0.0,0.488,0.512,0.6369
I am recent college graduate looking for a job in marketing.,0.0,1.0,0.0,0.0
I like spending time with friends playing sports and going to country concerts.,0.0,0.549,0.451,0.7506
"I graduated with a business degree , and marketing is all that i really enjoyed.",0.0,0.736,0.264,0.5563
"Unfortunately , my family lives across the country from me.",0.231,0.769,0.0,-0.34
I lamp on the weekends in the forest.,0.0,1.0,0.0,0.0
I miss my dad.,0.444,0.556,0.0,-0.1531
There i am a general of an oris army.,0.0,1.0,0.0,0.0
"I could move out , but she does not want me to.",0.129,0.871,0.0,-0.0857
I like to dress up for other people.,0.0,0.706,0.294,0.3612
I m an actress and i work at a grocery store.,0.0,1.0,0.0,0.0
I think i ll be famous one day.,0.0,1.0,0.0,0.0
I take great care of my skin.,0.0,0.354,0.646,0.8074
I like to watch people pray together.,0.0,0.455,0.545,0.5859
I like to work out at the gym to christian electronic dance music.,0.0,0.815,0.185,0.3612
People do not like me too much but i like them anyways.,0.319,0.681,0.0,-0.4973
People hate that i obsess about the poor.,0.688,0.312,0.0,-0.8316
My favorite flower is a rose.,0.0,0.571,0.429,0.4588
I live in a small apartment in new york.,0.0,1.0,0.0,0.0
I am currently going to school to be an artist.,0.0,1.0,0.0,0.0
I am twenty one years old.,0.0,1.0,0.0,0.0
I am recent college graduate looking for a job in marketing.,0.0,1.0,0.0,0.0
I would like to spend more time with my family.,0.0,0.762,0.238,0.3612
"I graduated with a business degree , and marketing is all that i really enjoyed.",0.0,0.736,0.264,0.5563
I like spending time with friends playing sports and going to country concerts.,0.0,0.549,0.451,0.7506
"I like wide , open spaces.",0.0,0.545,0.455,0.3612
I am active on my city council.,0.0,0.649,0.351,0.4019
I only eat locally sourced food.,0.0,1.0,0.0,0.0
I have 10 alpacas.,0.0,1.0,0.0,0.0
My adopted dad works at hp.,0.0,1.0,0.0,0.0
I was adopted when i was a baby.,0.0,1.0,0.0,0.0
My mom stays at home.,0.0,1.0,0.0,0.0
The future scares me.,0.444,0.556,0.0,-0.34
I play the violin.,0.0,0.455,0.545,0.34
I am nurse.,0.0,1.0,0.0,0.0
I am married with 5 kids.,0.0,1.0,0.0,0.0
I like to visit national parks.,0.0,0.615,0.385,0.3612
I work at a vet.,0.0,1.0,0.0,0.0
My husband is a lawyer.,0.0,1.0,0.0,0.0
I have 2 kids.,0.0,1.0,0.0,0.0
I have 3 dog.,0.0,1.0,0.0,0.0
I live down the street from miley cyrus and pnb rock.,0.0,1.0,0.0,0.0
I love eating barbeque sandwiches and pizza puffs.,0.0,0.588,0.412,0.6369
I enjoy hanging out with my imaginary friends as a hobby.,0.0,0.526,0.474,0.743
My name is jovannie and i m 19.,0.0,1.0,0.0,0.0
I am allergic to dust.,0.423,0.577,0.0,-0.296
I only eat organic food.,0.0,1.0,0.0,0.0
I own two snakes.,0.0,1.0,0.0,0.0
I have an autograph collection with more than 2000 signatures.,0.0,1.0,0.0,0.0
I have two cats.,0.0,1.0,0.0,0.0
I need extra iron in my diet.,0.0,1.0,0.0,0.0
I am in love with adam levine.,0.0,0.543,0.457,0.6369
I have two children under ten.,0.0,1.0,0.0,0.0
I am a foodie.,0.0,1.0,0.0,0.0
I love to chat with my friends.,0.0,0.354,0.646,0.8074
I like to cook.,0.0,0.444,0.556,0.3612
I love kids and dogs.,0.0,0.417,0.583,0.6369
My favorite music is country.,0.0,0.571,0.429,0.4588
I am a vegetarian.,0.0,1.0,0.0,0.0
I like the internet.,0.0,0.444,0.556,0.3612
I have a new job.,0.0,1.0,0.0,0.0
I am a school psychologist.,0.0,1.0,0.0,0.0
I am learning how to play the piano.,0.0,0.714,0.286,0.34
Chocolate is my favorite food.,0.0,0.571,0.429,0.4588
I am the youngest sibling of four.,0.0,1.0,0.0,0.0
I love chocolate.,0.0,0.192,0.808,0.6369
I have six older sisters.,0.0,1.0,0.0,0.0
I am an avid fan of the boston celtics.,0.0,0.571,0.429,0.5423
"I work for a small , family owned restaurant.",0.0,1.0,0.0,0.0
I have never had candy in my life.,0.0,1.0,0.0,0.0
I am a professional skittles player.,0.0,1.0,0.0,0.0
"In my free time , i watch anime and baseball.",0.0,0.68,0.32,0.5106
I am known as the iron skittler in the skittles universe.,0.0,1.0,0.0,0.0
I only wear tennis shoes.,0.0,1.0,0.0,0.0
I live near the ocean.,0.0,1.0,0.0,0.0
My favorite author is jane austen.,0.0,0.625,0.375,0.4588
I eat a lot of fish.,0.0,1.0,0.0,0.0
I also like to mountain bike.,0.0,0.615,0.385,0.3612
I love to hike.,0.0,0.323,0.677,0.6369
I have visited 12 national parks in the us.,0.0,1.0,0.0,0.0
I am an environmental activist.,0.0,1.0,0.0,0.0
I am a older gentlemen.,0.0,1.0,0.0,0.0
I love to travel.,0.0,0.323,0.677,0.6369
I have a passion for god.,0.0,0.282,0.718,0.6249
I am married.,0.0,1.0,0.0,0.0
I work in a circus as a juggler.,0.0,1.0,0.0,0.0
I like going to the moives.,0.0,0.615,0.385,0.3612
My father and grandfather also worked in the circus.,0.0,1.0,0.0,0.0
I am on a keto diet.,0.0,1.0,0.0,0.0
I have a brand new chevrolet.,0.0,1.0,0.0,0.0
I like to get involved in politics.,0.0,0.667,0.333,0.3612
I am a big sports fan.,0.0,0.566,0.434,0.3182
I am looking to start a business.,0.0,1.0,0.0,0.0
I am studying literature.,0.0,1.0,0.0,0.0
I am from france.,0.0,1.0,0.0,0.0
My favorite food is tacos.,0.0,0.571,0.429,0.4588
I like to draw.,0.0,0.444,0.556,0.3612
Dancing is my passion.,0.0,0.5,0.5,0.4588
I have a dog named socks.,0.0,1.0,0.0,0.0
I am a college student.,0.0,1.0,0.0,0.0
I drive a silver lexus.,0.0,1.0,0.0,0.0
